ID_Venta,Fecha,Producto,Categoria,Region,Vendedor,Precio_Unitario,Cantidad,Descuento_%,Total
V-024709,2024-01-01,Auriculares Bluetooth,Electronica,Norte,Carlos Lopez,1113.4,3,5,3173.19
V-040198,2024-01-01,Tablet,Electronica,Este,Diego Flores,5131.58,6,5,29250.01
V-024153,2024-01-01,Tablet,Electronica,Sur,Ana Martinez,3182.04,4,5,12091.75
V-000460,2024-01-01,Mouse Gaming,Perifericos,Norte,Carlos Lopez,520.06,3,10,1404.16
V-028515,2024-01-01,Mouse Gaming,Perifericos,Norte,Carlos Lopez,340.04,2,5,646.08
V-042404,2024-01-01,Monitor 27',Electronica,Norte,Carlos Lopez,4011.39,5,10,18051.26
V-004922,2024-01-01,Teclado Mecanico,Perifericos,Oeste,Valentina Ortiz,1424.6,5,10,6410.7
V-029408,2024-01-01,Auriculares Bluetooth,Electronica,Norte,Carlos Lopez,973.42,2,5,1849.5
V-005414,2024-01-01,Mouse Gaming,Perifericos,Oeste,Miguel Angel,640.82,4,0,2563.28
V-028952,2024-01-01,Tablet,Electronica,Norte,Carlos Lopez,2950.12,2,0,5900.24
V-041327,2024-01-01,Disco SSD 1TB,Electronica,Sur,Luis Hernandez,1199.52,2,0,2399.04
V-019352,2024-01-01,Smartphone,Electronica,Sur,Ana Martinez,3861.69,3,5,11005.82
V-010132,2024-01-01,Router WiFi,Electronica,Oeste,Valentina Ortiz,1368.13,3,0,4104.39
V-029655,2024-01-01,Laptop Gamer,Electronica,Oeste,Valentina Ortiz,12541.34,5,10,56436.03
V-013738,2024-01-01,Webcam HD,Electronica,Norte,Carlos Lopez,1481.66,4,0,5926.64
V-039055,2024-01-01,Auriculares Bluetooth,Electronica,Oeste,Valentina Ortiz,996.8,1,0,996.8
V-041392,2024-01-01,Teclado Mecanico,Perifericos,Centro,Sofia Ramirez,1092.15,6,5,6225.26
V-032225,2024-01-01,Mouse Gaming,Perifericos,Este,Diego Flores,402.19,5,15,1709.31
V-036733,2024-01-01,Silla Ergononica,Muebles,Oeste,Miguel Angel,4785.08,3,0,14355.24
V-032735,2024-01-01,Teclado Mecanico,Perifericos,Oeste,Miguel Angel,1157.19,5,10,5207.36
V-003318,2024-01-01,Router WiFi,Electronica,Centro,Sofia Ramirez,833.51,3,0,2500.53
V-036939,2024-01-01,Monitor 27',Electronica,Oeste,Valentina Ortiz,5251.35,5,15,22318.24
V-020529,2024-01-01,Impresora,Oficina,Norte,Carlos Lopez,2488.66,2,5,4728.45
